N° officiel,Établissement,Ville,Filières de formation,Titres délivrés,Source,Année / édition,Note
11,UNIVERSITE AUBE NOUVELLE ex INSTITUT SUPERIEUR D’INFORMATIQUE ET DE GESTION BOBO-DIOULASSO,BOBO-DIOULASSO,"- économie de Développement Technologie du Génie
- Informatique Technologie de  Ré eaux et
- Sy tème  Informatique
BAC + 2 : Finance Comptabilité
- Secrétariat
- Marketing et Ge tion
- Commerciale Analy te Programmeur
-
LICENCE : Technologie de  Ré eaux et
- Sy tème Technologie du Génie
- Informatique Science  Juridique  et Politique
- (Droit Public et Privé) Science  de Ge tion/GRH
- Science  de Ge tion/Ge tion de
- Projet Science  de Ge tion/Marketing
- Science  Economique
- (Management International et Analy e Economique)",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
12,UNIVERSITE CATHOLIQUE DE L’AFRIQUE DE L’OUEST/UNITE UNIVERSITAIRE DE BOBO,BOBO-DIOULASSO,"- Finance Banque
- Ge tion de  Projet
- Communication de  Entrepri e
- Management de l’Environnement
- et du Développement Durable Marketing
- Technique  Comptable  et
- Financière
LICENCE : Management et Marketing;
- Biologie Appliquée (Indu trie
- Alimentaire , Analy e Biologique ); Génie Civil (Bâtiment  et
- Travaux Public ) ; Economie (Ge tion de
- Entrepri e  et de  Organi ation , macroéconomie et Ge tion du Développement) ; Finance Comptabilité;
- Droit ;
- Sociologie (Sociologie
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
13,INSTITUT SUPERIEUR DE DEVELOPPEMENT DES ENTREPRISES DES HAUT-BASSINS,OUAGADOUGOU,"- Economie (Ge tion de
- Entrepri e  et de  Organi ation , Macroéconomie et Ge tion du Développement) ; Droit (Droit de  Affaire  et
- Fi calité, Droit Public Economique) ; Biologie Appliquée
- (Bactériologie-Virologie, Indu trie  Agroalimentaire ), Sociologie (Développement
- Communautaire et Sociale, Politique de Développement) Management et Marketing
-
BAC + 2 : Maintenance Indu trielle
- Agro-Alimentaire
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
14,UNIVERSITE POLYTECHNIQUE DE BOBO/INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE,BOBO-DIOULASSO,"MASTER :
Master en Parasitologie
-
DOCTORAT : Médecine D
- Pharmacie
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
15,INSTITUT SUPERIEUR DE MANAGEMENT ET DES TECHNIQUES APPLIQUEES,DANO,"-
BAC + 2: Communication d’entrepri e
- Finance comptabilité ;
- Ge tion de  Re ource
- Humaine Management et Ge tion de
- Projet Tran port Logi tique
- Production Agricole
-
LICENCE :
- Communication d’Entreprise
-Finance Comptabilité ;
- Ge tion de  Re ource  Humaine
- Management et Ge tion de  Projet
MASTER :
- Ge tion de  Re ource  Humaine
- Communication d’entreprise
- Management et Ge tion de  Projet",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
16,INSTITUT SUPERIEUR PRIVE POLYTECHNIQUE SAINT AUGUSTIN,OUAGADOUGOU,"- Comptabilité Contrôle Audit
-
MASTER : Ge tion de  Projet
- M Ge tion de  Re ource
- P Humaine E",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
17,ECOLE SUPERIEURE POLYTECHNIQUE DE KAYA,KAYA,"BAC + 2 : Génie civil;
- Génie Electrique et Informatique
- Indu trielle Génie Hydraulique Rural
- Finance Comptabilité
- Marketing et Ge tion
- Commerciale
LICENCE PROFESSIONNELLE : Génie Civil
- L Génie Electrique et Informatique
- Indu trielle",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
18,ECOLE PRIVEE D’ENSEIGNEMENT SUPERIEUR KOLOG-KOOM,KAYA,"- Finance Comptabilité
- Marketing et Ge tion
- Commerciale
LICENCE : Management de Projet et
- Programme de Développement L",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
19,INSTITUT SUPERIEUR DE MANAGEMENT DE KOUDOUGOU,KOUDOUGOU,"- Marketing et Ge tion
- commerciale ; Communication de  Entrepri e
- et de  Organi ation Management et Ge tion de
- Collectivité  Territoriale
LICENCE : Finance  comptabilité
- Marketing et Ge tion
- Commerciale, Communication de  Entrepri e
- et de  Organi ation Management et Ge tion de
- Collectivité  Territoriale
MASTER : Management et Ge tion de
- Projet , Communication de  Entrepri e
- et de  Organi ation Management et Ge tion de
- Collectivité  Territoriale Management et Ge tion de
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
20,INSTITUT SUPERIEUR MONSEIGNEUR DIEUDONNE YOUGBARE DE KOUPELA,KOUPELA,"- Biologie (SVT)
-
MASTER : Lettre  Moderne
- Géographique
- Hi toire et Archéologie
- P ychologie
-
DOCTORAT : Lettre  Moderne
- P ychologie
-
BAC + 2 : Finance Comptabilité ;
- Communication d’Entrepri e ;
- Ge tion de  Re ource
- Humaine",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
21,INSTITUT DES SCIENCES ET DE L’INGENIERIE DE FADA,KOUPELA,"LICENCE : Ge tion de  Projet
- Science  de l’Education
-
LICENCE PROFESSIONNELLE : L
- Comptabilité, Contrôle, Audit (CCA)
MASTER :
- Comptabilité, Contrôle, Audit (CCA)",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
22,INSTITUT AFRICAIN DE PERFECTIONNEMENT ET DE MANAGEMENT DE BOBO,BOBO-DIOULASSO,"- Communication d'Entrepri e ;
- Marketing Management.
-
LICENCE PROFESSIONNELLE :
- Management de  re ource  humaine  ;
- Science  et Technique  Comptable  et Financière  ;
- Management de  Projet  et Développement Local ;
- Marketing et Management ;
- Communication d’Entrepri e.
MASTER :
- Audit contrôle de Ge tion Orientée et Financière ;
- Stratégie et Intelligence Marketing ;
- Management de  Projet  et Programme  Orienté
des Résultats ;
- Ge tion de  Re ource  Humaine  ;",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
23,INSTITUT AL FOURQUAN,OUAGADOUGOU,BAC + 2 : Néant,,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
24,"INSTITUT PANAFRICAIN D’ETUDE ET DE RECHERCHE SUR LES MEDIAS, L’INFORMATION ET LA COMMUNICATION",OUAGADOUGOU,"- Communication de
- organi ation Communication pour le
- développement Recherche en Science  de
- l’Information et de la Communication
DOCTORAT :
Doctorat en Sciences de
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
25,INSTITUT BURKINABE DES ARTS ET DES METIERS,OUAGADOUGOU,"BAC + 2 : Finance comptabilité
- Génie Energétique /Technologie
- Solaire  Appliquée Ge tion Commerciale
- Ge tion et Admini tration de
- Entrepri e",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
26,INSTITUT DES SCIENCES DE L’ENTREPRISE ET DU MANAGEMENT,OUAGADOUGOU,"-
Licence : Comptabilité Contrôle Audit L
- Science  de Ge tion Marketing
-
Maîtri e : Science  de ge tion
- Science  et Technique
- Comptable  et Financière",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
27,INSTITUT DES SCIENCES VEENEM-WATA DE KOUDOUGOU,KOUDOUGOU,"Ma ter : Comptabilité Contrôle Audit
- Audit et Contrôle de Ge tion
-
Licence : Science  de l’éducation
-
Ma ter : Science  de l’éducation
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
28,ECOLE SUPERIEURE POLYTECHNIQUE EXCELLE,OUAGADOUGOU,"Licence : Electronique
- Maintenance Indu trielle
- Marketing et Ge tion
- Commerciale Electronique et Informatique
- Indu trielle Bâtiment et Travaux Public
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
29,UNIVERSITE EVANGELIQUE DU KADIOGO,OUAGADOUGOU,- Macroéconomie et Ge tion du Développement,,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
30,UNIVERSITE CHRETIENNE LOGOS DE OUAGADOUGOU,OUAGADOUGOU,"Licence pro : Banque-A urance
- Théologie Pa torale
-
Ma ter en théologie : Théologie Pa torale
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
31,ECOLE D’ARCHITECTURE ET DE GENIE CIVIL DE OUAGADOUGOU,OUAGADOUGOU,"Bac + 2 : Génie Civil
-
Licence PRO: Génie civil
- L Architecture
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
32,INSTITUT DE FORMATION ET DE RECHERCHE INTERDISCIPLINAIRES EN SCIENCES DE LA SANTE ET DE L’EDUCATION,OUAGADOUGOU,"Licence : Science  infirmière
- Science  maïeutique  et  anté de
- la reproduction
Ma ter : Science  infirmière
- Science  maïeutique
- Santé communautaire et
- épidémiologie",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
33,INSTITUT SUPERIEUR POLYTECHNIQUE ET DE MANAGEMENT,OUAGADOUGOU,"- Marketing
- Communication
- Banque a urance
- Ge tion de  re ource  humaine
- Ge tion de  projet
-
Licence : Génie civil
- Electricité
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
34,INSTITUT DES TECHNOLOGIES MODERNES DU DEVELOPPEMENT ET DE GESTION,OUAGADOUGOU,"- télécommunication
Licence : Electronique et Maintenance
- Informatique Maintenance Indu trielle
- Ge tion de  Projet
- Economie et Stati tique Appliqué
- Tran port logi tique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
35,ECOLE SUPERIEURE DE COMMERCE,OUAGADOUGOU,"Licence : Finance Comptabilité
- Communication d’entrepri e
- Marketing et Ge tion
- Commerciale Commerce International
- Ge tion de  Re ource
- Humaine Management de  Projet
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
36,UNIVERSITE DE TECHNOLOGIES ET DE MANAGEMENT,OUAGADOUGOU,"- Comptable  et Financière Ge tion de  Projet
- Ge tion de  Re ource
- Humaine Banque A urance
- Management de  Projet
- Commerce International
-
Bac + 2 : Maintenance Indu trielle
- Electronique et Informatique
- Indu trielle Electrotechnique
- Bâtiment et Travaux Public
- Maintenance Indu trielle
-
Licence : Tran port Logi tique
- Economie et Stati tique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
37,SUP’MANAGEMENT BURKINA,OUAGADOUGOU,"-
Licence profe ionnelle : Finance management
- Marketing Communication
- Mangement International
- L
Ingénierie des Systèmes et
- Ré eaux Tran port et Logi tique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
38,INSTITUT SUPERIEUR DE TECHNOLOGIES APPLIQUEES ET DE MANAGEMENT,OUAGADOUGOU,"Ingénierie Financière
-
Ingénierie Commerciale
- Management de  Re ource
- Humaine Mangement Environnemental
- Mangement de la
- Communication de  Entrepri e et In titution
Ingénierie en Management des
- Opération  et de la Logi tique
Ingénierie Réseaux Sécurité et
- Télécom Ge tion de  Projet
-
Ingénierie Financière Contrôle de
- Ge tion Audit
Ingénierie Commerciale
- Marketing Di tribution
Ingénierie de Réseaux
- Informatique  et Sy tème  ’Information Banque et Microfinance
- Management Global Approfondi
-
Bac + 2 : Finance Comptabilité
- Marketing Ge tion Commerciale
- Banque A urance
- Banque Micro-finance
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
39,INSTITUT AFRICAIN DES INDUSTRIES CULTURELLES,OUAGADOUGOU,"- Banque A urance
- Banque Micro-finance
- Communication d’entrepri e
- Exploitation Géologique
- Ge tion de  Re ource
- Humaine
Ma ter : Finance Comptabilité
- Marketing Ge tion Commerciale
- Banque A urance
- Banque Micro-finance
- Communication d’entrepri e
- Exploitation Géologique
- Ge tion de  Re ource
- Humaine
Bac + 2 : Prévention de  Cri e  et Ge tion
- de la Paix Sociale Communication de  In titution
- et de  collectivité Management de l’Evènement et
- Relation Publiq. Management de  Produit  et
- Service  Hôtelier",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
40,INSTITUT SUPERIEUR DE TECHNOLOGIES,OUAGADOUGOU,"- de la Paix Sociale Communication de  In titution
- et de  collectivité Management de l’Evènement et
- Relation  Publique Management de  Produit  et
- Service  Hôtelier
Ma ter : Prévention de  Cri e  et Ge tion
- de la Paix Sociale Communication Politique
- Ge tion Stratégique de
- Indu trie  Culturelle
BAC +2 : Finance Comptabilité
- Secrétariat de Direction
- Bureautique Marketing et Ge tion
- Commercial Ré eaux Informatique  et
- Télécom Génie Biomédical
- Agroalimentaire
- Génie Electrique
- Génie Civil
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
41,SCHOOL OF MANAGEMENT,OUAGADOUGOU,"- Finance Comptabilité
- Banque
- Tran port et Logi tique
- Génie Civil
- Génie Minier
- Génie Electrique et Informatique
- Indu trielle Ré eaux informatique  et
- Télécommunication Electromécanique
- Electrotechnique
- Marketing et Management
-
Licence : Marketing et Management
- Communication d’Entrepri e
- Finance Comptabilité
- Banque
- Tran port et Logi tique
- Génie Civil
- Génie Minier
- Génie Electrique et Informatique
- Indu trielle Ré eaux et Télécommunication
- Electromécanique
- Ge tion de  Projet
- Electrotechnique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
42,INSTITUT ANSELME TITIANMA SANON,OUAGADOUGOU,"-
Ingénierie des Travaux de
- l’Humanitaire
Ma ter : Ge tion de  Re ource  et de
- Opération Qualité de  Programme
- Humanitaire et de Développement",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
43,INSTITUT SUPERIEUR DE MANAGEMENT ET D’ENTREPRENEURIAT,OUAGADOUGOU,"BAC + 2 : Finance Comptabilité
- Secrétariat
- Marketing et Ge tion
- Commerciale Tran port Logi tique
-
Licence : Finance Comptabilité
- Marketing et Ge tion
- Commerciale",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
44,"UNIVERSITE DU FASO – INSTITUT SUPERIEUR DES LETTRES, LANGUES, SCIENCES HUMAINES ET SOCIALES",ZINIARE,"-
Licence : Lettre  Moderne
-
Ma ter : Science  de l’Education
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
45,INSTITUT DE GESTION DES RISQUES INDUSTRIELS ET DU DEVELOPPEMENT DURABLE,OUAGADOUGOU,"- Ge tion de  A pect
- Environnementaux Santé Sécurité et Situation
- d’Urgence
Licence : Exploration géologique
- Ge tion de  A pect
- Environnementaux",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
46,INSTITUT PANAFRICAIN DE METIERS D’AVENIR EX ISTG,OUAGADOUGOU,"BAC + 2 : Tran port Logi tique
- Finance Comptabilité
- Secrétariat de Direction
- Ge tion Commerciale
-
Licence : Tran port Logi tique
- Finance Comptabilité
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
47,INSTITUT SUPERIEUR DE DROIT INTERNATIONAL ET DES DROITS DE L’HOMME,OUAGADOUGOU,"-
Ma ter : Droit : droit international et de
- droit  de l’homme",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
48,INSTITUT SUPERIEUR DE LA COMMUNICATION ET DU MULTIMEDIA,OUAGADOUGOU,"Licence : Journali me numérique
- Communication numérique
- Création Publicitaire numérique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
